   GoodVibes v3.0.1 2025/01/20 15:27:11,,,,,,,,,,,,
   REF: Luchini, G.; Alegre-Requena J. V.; Guan, Y.; Funes-Ardoiz, I.; Paton, R. S. (2019).,,,,,,,,
o  3aa-adbrettphos-07-ts-c2-c3,-3081.771244,-3079.908111,1.154575,-3080.53639,0.180537,0.168041,-3080.716926,-3080.70443,-65.04,           C1,,
o  3aa-adbrettphos-08-c3-boh3,-3081.777918,-3079.919339,1.155332,-3080.541978,0.181182,0.168836,-3080.72316,-3080.710815,           C1,,,
o  3aa-adbrettphos-09-c3,-2829.460413,-2827.854938,1.105049,-2828.281177,0.168869,0.156554,-2828.450046,-2828.437732,           C1,,,
o  3aa-adbrettphos-10-ts-c3-c4,-2829.398897,-2827.799874,1.09949,-2828.225027,0.169708,0.157483,-2828.394735,-2828.38251,-599.72,           C1,,
o  3aa-adbrettphos-11-c4,-2829.423519,-2827.817057,1.104451,-2828.244262,0.17095,0.158437,-2828.415212,-2828.402699,           C1,,,
o  3aa-adbrettphos-12-ts-rxt-t1,-3005.336113,-3003.561655,1.129073,-3004.129956,0.17364,0.161861,-3004.303596,-3004.291818,-31.9,           C1,,
o  3aa-adbrettphos-13-t1,-3005.356992,-3003.580548,1.129098,-3004.149601,0.177489,0.1642,-3004.327089,-3004.3138,           C1,,,
o  3aa-adbrettphos-14-ts-t1-t2,-3005.340562,-3003.566379,1.127887,-3004.134829,0.175377,0.16366,-3004.310207,-3004.29849,-269.32,           C1,,
o  3aa-adbrettphos-15-t2,-3005.365521,-3003.589081,1.129668,-3004.157609,0.178302,0.164728,-3004.335911,-3004.322337,           C1,,,
o  3aa-adbrettphos-16-t2-h2o,-3081.739478,-3079.878443,1.153319,-3080.504162,0.188503,0.171864,-3080.692665,-3080.676026,           C1,,,
o  3aa-adbrettphos-17-ts-t2-t3,-3081.725453,-3079.86731,1.153008,-3080.49104,0.185778,0.17057,-3080.676818,-3080.66161,-69.93,           C1,,
o  3aa-adbrettphos-18-t3-boh3,-3081.740906,-3079.881647,1.154072,-3080.505082,0.187849,0.171513,-3080.692931,-3080.676595,           C1,,,
o  3aa-adbrettphos-19-t3,-2829.450773,-2827.847702,1.105592,-2828.271196,0.166777,0.156224,-2828.437973,-2828.42742,           C1,,,
o  3aa-adbrettphos-20-ts-t3-t4,-2829.411227,-2827.817699,1.099851,-2828.237434,0.169169,0.156112,-2828.406603,-2828.393545,-1105.12,           C1,,
o  3aa-adbrettphos-21-t4,-2829.438375,-2827.830158,1.103383,-2828.259722,0.173049,0.159166,-2828.432771,-2828.418888,           C1,,,
o  3aa-adbrettphos-22-c5,-3081.761452,-3079.89825,1.154703,-3080.524558,0.187317,0.172417,-3080.711876,-3080.696975,           C1,,,
o  3aa-adbrettphos-23-ts-c5-c6,-3081.711927,-3079.859156,1.149258,-3080.482325,0.181007,0.168199,-3080.663332,-3080.650524,-1068.04,           C1,,
o  3aa-adbrettphos-24-t5,-3081.733392,-3079.872885,1.15286,-3080.498028,0.188961,0.172981,-3080.68699,-3080.67101,           C1,,,
o  3aa-adbrettphos-25-ts-t5-t6,-3081.709014,-3079.858307,1.148743,-3080.479365,0.184123,0.169301,-3080.663488,-3080.648666,-613.69,           C1,,
o  3aa-adbrettphos-33-ts-rxt-ya,-3005.337077,-3003.564902,1.129529,-3004.130494,0.174315,0.161755,-3004.304809,-3004.292249,-74.96,           C1,,
o  3aa-adbrettphos-34-ya,-3005.367529,-3003.589674,1.129374,-3004.160194,0.176324,0.163694,-3004.336518,-3004.323889,           C1,,,
o  3aa-adbrettphos-36-ts-rxt-yb,-3081.716593,-3079.863581,1.154752,-3080.481918,0.180043,0.166834,-3080.661961,-3080.648752,-107.33,           C1,,
o  3aa-adbrettphos-37-yb,-3081.752624,-3079.895621,1.155353,-3080.516644,0.184147,0.168678,-3080.70079,-3080.685321,           C1,,,
o  3aa-adbrettphos-38-ts-yb-c1,-3081.699622,-3079.849032,1.15383,-3080.46516,0.181567,0.168938,-3080.646727,-3080.634098,-49.36,           C1,,
o  3aa-adbrettphos-99-lig,-2164.686945,-2163.336879,0.930421,-2163.698947,0.136511,0.125283,-2163.835458,-2163.82423,           C1,,,
o  3a-pph3-00-lpdoh2,-2629.199525,-2628.139549,0.592473,-2628.551146,0.153142,0.133735,-2628.704288,-2628.684881,           C1,,,
o  3a-pph3-01-rxt,-1875.888296,-1874.924611,0.464842,-1875.381404,0.117716,0.107006,-1875.49912,-1875.48841,           C1,,,
o  3a-pph3-02-ts-rxt-c1,-1875.869814,-1874.906788,0.463429,-1875.36466,0.115576,0.106494,-1875.480236,-1875.471154,-123.73,           C1,,
o  3a-pph3-03-c1,-1875.888297,-1874.92179,0.464308,-1875.381893,0.114394,0.107619,-1875.496287,-1875.489512,           C1,,,
o  3a-pph3-04-ts-c1-c2,-1875.88077,-1874.915934,0.462886,-1875.375993,0.114853,0.107319,-1875.490846,-1875.483312,-134.3,           C1,,
o  3a-pph3-05-c2,-1875.940588,-1874.971127,0.465207,-1875.433264,0.118621,0.107188,-1875.551885,-1875.540452,           C1,,,
o  3a-pph3-06-c2-h2o,-1952.327375,-1951.276032,0.489786,-1951.792235,0.126008,0.113593,-1951.918243,-1951.905829,           C1,,,
o  3a-pph3-07-ts-c2-c3,-1952.320082,-1951.269928,0.489823,-1951.786253,0.121705,0.110622,-1951.907958,-1951.896875,-47.72,           C1,,
o  3a-pph3-08-c3-boh3,-1952.327644,-1951.280284,0.489642,-1951.793335,0.123216,0.112021,-1951.916551,-1951.905356,           C1,,,
o  3a-pph3-09-c3,-1700.001781,-1699.211779,0.438873,-1699.524341,0.11104,0.100661,-1699.635381,-1699.625002,           C1,,,
o  3a-pph3-10-ts-c3-c4,-1699.949735,-1699.168169,0.435176,-1699.476727,0.107696,0.099424,-1699.584423,-1699.57615,-735.41,           C1,,
o  3a-pph3-11-c4,-1699.980019,-1699.188621,0.44051,-1699.501534,0.107016,0.099726,-1699.60855,-1699.60126,           C1,,,
o  3a-pph3-12-ts-rxt-t1,-1875.876334,-1874.911321,0.464041,-1875.370818,0.11573,0.105794,-1875.486548,-1875.476612,-49.09,           C1,,
o  3a-pph3-13-t1,-1875.886526,-1874.923097,0.463729,-1875.380048,0.119376,0.108739,-1875.499424,-1875.488787,           C1,,,
o  3a-pph3-14-ts-t1-t2,-1875.868172,-1874.906778,0.462609,-1875.363167,0.120211,0.107911,-1875.483378,-1875.471078,-239.06,           C1,,
o  3a-pph3-15-t2,-1875.897134,-1874.936481,0.46453,-1875.389793,0.123409,0.108895,-1875.513202,-1875.498688,           C1,,,
o  3a-pph3-16-t2-h2o,-1952.281114,-1951.24436,0.488596,-1951.746759,0.128335,0.114761,-1951.875095,-1951.86152,           C1,,,
o  3a-pph3-17-ts-t2-t3,-1952.260614,-1951.222383,0.48717,-1951.727311,0.128751,0.116028,-1951.856061,-1951.843338,-130.65,           C1,,
o  3a-pph3-18-t3-boh3,-1952.288606,-1951.250482,0.489522,-1951.753581,0.127578,0.114368,-1951.881159,-1951.867949,           C1,,,
o  3a-pph3-19-t3,-1699.97218,-1699.184074,0.439971,-1699.493246,0.111958,0.101682,-1699.605203,-1699.594928,           C1,,,
o  3a-pph3-20-ts-t3-t4,-1699.938155,-1699.159401,0.434552,-1699.465209,0.112306,0.100415,-1699.577515,-1699.565624,-1146.72,           C1,,
o  3a-pph3-21-t4,-1699.982754,-1699.191423,0.439534,-1699.504478,0.111366,0.100965,-1699.615843,-1699.605443,           C1,,,
o  3a-pph3-22-c5,-1952.312806,-1951.266112,0.489661,-1951.777164,0.127811,0.115236,-1951.904975,-1951.8924,           C1,,,
o  3a-pph3-23-ts-c5-c6,-1952.255992,-1951.224062,0.484399,-1951.727472,0.121518,0.111223,-1951.84899,-1951.838695,-657.97,           C1,,
o  3a-pph3-24-t5,-1952.26359,-1951.226803,0.488642,-1951.729648,0.125177,0.113372,-1951.854825,-1951.843021,           C1,,,
o  3a-pph3-25-ts-t5-t6,-1952.250288,-1951.21876,0.48407,-1951.721567,0.123435,0.112279,-1951.845002,-1951.833846,-964.81,           C1,,
o  3a-pph3-39-t2-lig,-2911.143299,-2909.672891,0.731328,-2910.346978,0.17255,0.150718,-2910.519528,-2910.497696,           C1,,,
o  3a-pph3-40-ts-t2-p1,-2911.126734,-2909.654051,0.73207,-2910.330305,0.168553,0.149904,-2910.498857,-2910.480208,-117.59,           C1,,
o  3a-pph3-41-p1-boh3,-2911.201166,-2909.717506,0.73348,-2910.403442,0.167627,0.149702,-2910.571068,-2910.553143,           C1,,,
o  3a-pph3-42-p1,-2658.885812,-2657.653524,0.683908,-2658.144298,0.153636,0.13662,-2658.297934,-2658.280917,           C1,,,
o  3a-pph3-43-t3-lig,-2735.221433,-2733.922326,0.708205,-2734.452648,0.160596,0.141959,-2734.613243,-2734.594606,           C1,,,
o  3a-pph3-44-ts-t3-p1,-2735.21579,-2733.915944,0.70747,-2734.447984,0.15763,0.141752,-2734.605615,-2734.589736,-85.88,           C1,,
o  3a-pph3-45-p1-h2o,-2735.27114,-2733.961808,0.708673,-2734.501876,0.158511,0.142644,-2734.660387,-2734.64452,           C1,,,
o  3a-pph3-99-lig,-1035.216562,-1034.69402,0.266845,-1034.928582,0.070695,0.065093,-1034.999277,-1034.993675,           C3,,,
o  3b-potol3-00-lpdoh2,-2864.78056,-2863.557159,0.753049,-2863.960569,0.162214,0.147423,-2864.122783,-2864.107992,           C1,,,
o  3b-potol3-01-rxt,-1993.676388,-1992.632889,0.54506,-1993.083496,0.124264,0.114606,-1993.20776,-1993.198101,           C1,,,
o  3b-potol3-02-ts-rxt-c1,-1993.657529,-1992.613608,0.543736,-1993.066268,0.122309,0.114328,-1993.188577,-1993.180597,-126.31,           C1,,
o  3b-potol3-03-c1,-1993.676256,-1992.626881,0.545021,-1993.083563,0.1211,0.114144,-1993.204663,-1993.197707,           C1,,,
o  3b-potol3-04-ts-c1-c2,-1993.671929,-1992.628514,0.543914,-1993.080861,0.119423,0.113585,-1993.200284,-1993.194446,-60.77,           C1,,
o  3b-potol3-05-c2,-1993.729987,-1992.682195,0.545801,-1993.136552,0.123644,0.114142,-1993.260197,-1993.250694,           C1,,,
o  3b-potol3-06-c2-h2o,-2070.113306,-2068.983465,0.570189,-2069.492099,0.132543,0.120706,-2069.624643,-2069.612806,           C1,,,
o  3b-potol3-07-ts-c2-c3,-2070.106528,-2068.979624,0.570795,-2069.486384,0.126126,0.117159,-2069.612509,-2069.603543,-55.83,           C1,,
o  3b-potol3-08-c3-boh3,-2070.113562,-2068.987946,0.570953,-2069.492542,0.128604,0.118625,-2069.621146,-2069.611167,           C1,,,
o  3b-potol3-09-c3,-1817.792171,-1816.921895,0.520114,-1817.228028,0.116175,0.107506,-1817.344203,-1817.335535,           C1,,,
o  3b-potol3-10-ts-c3-c4,-1817.73725,-1816.87388,0.515754,-1817.178118,0.113007,0.106295,-1817.291125,-1817.284413,-844.72,           C1,,
o  3b-potol3-11-c4,-1817.767112,-1816.89539,0.52151,-1817.202074,0.112739,0.106573,-1817.314813,-1817.308647,           C1,,,
o  3b-potol3-12-ts-rxt-t1,-1993.666362,-1992.620459,0.543972,-1993.074974,0.123541,0.113852,-1993.198515,-1993.188827,-49.47,           C1,,
o  3b-potol3-13-t1,-1993.676861,-1992.631075,0.543864,-1993.084673,0.125149,0.115617,-1993.209822,-1993.20029,           C1,,,
o  3b-potol3-14-ts-t1-t2,-1993.656783,-1992.613462,0.542536,-1993.066164,0.125821,0.115217,-1993.191986,-1993.181382,-179.64,           C1,,
o  3b-potol3-15-t2,-1993.683745,-1992.645605,0.54477,-1993.09079,0.126958,0.115744,-1993.217748,-1993.206535,           C1,,,
o  3b-potol3-16-t2-h2o,-2070.071362,-2068.953356,0.569381,-2069.450905,0.132855,0.121109,-2069.58376,-2069.572014,           C1,,,
o  3b-potol3-17-ts-t2-t3,-2070.05072,-2068.927218,0.567401,-2069.431351,0.134964,0.12328,-2069.566314,-2069.55463,-110.13,           C1,,
o  3b-potol3-18-t3-boh3,-2070.067428,-2068.951791,0.569085,-2069.446945,0.134786,0.122052,-2069.581731,-2069.568997,           C1,,,
o  3b-potol3-19-t3,-1817.763663,-1816.895771,0.520296,-1817.198991,0.117331,0.108294,-1817.316322,-1817.307285,           C1,,,
o  3b-potol3-20-ts-t3-t4,-1817.729254,-1816.869539,0.514806,-1817.170453,0.117593,0.1077,-1817.288045,-1817.278153,-1141.62,           C1,,
o  3b-potol3-21-t4,-1817.773731,-1816.903265,0.520191,-1817.209331,0.117179,0.107774,-1817.326509,-1817.317105,           C1,,,
o  3b-potol3-22-c5,-2070.105116,-2068.976373,0.570376,-2069.483181,0.132871,0.121989,-2069.616052,-2069.60517,           C1,,,
o  3b-potol3-23-ts-c5-c6,-2070.048613,-2068.93346,0.564699,-2069.43386,0.12846,0.119025,-2069.562319,-2069.552885,-1000.05,           C1,,
o  3b-potol3-24-t5,-2070.050102,-2068.932238,0.568343,-2069.430143,0.134516,0.121875,-2069.564659,-2069.552018,           C1,,,
o  3b-potol3-25-ts-t5-t6,-2070.034946,-2068.923691,0.564128,-2069.420192,0.131373,0.1202,-2069.551564,-2069.540391,-687.21,           C1,,
o  3b-potol3-99-lig,-1153.010059,-1152.407089,0.346827,-1152.636138,0.078214,0.073574,-1152.714352,-1152.709712,           C3,,,
o  3c-pipr3-00-lpdoh2,-1951.322041,-1950.673977,0.609632,-1950.66067,0.120707,0.112681,-1950.781377,-1950.773351,           C1,,,
o  3c-pipr3-01-rxt,-1536.949259,-1536.190423,0.473399,-1536.435766,0.103375,0.096559,-1536.539141,-1536.532325,           C1,,,
o  3c-pipr3-02-ts-rxt-c1,-1536.92616,-1536.170742,0.472157,-1536.41426,0.101484,0.095859,-1536.515744,-1536.510119,-134.8,           C1,,
o  3c-pipr3-03-c1,-1536.946383,-1536.186909,0.473007,-1536.433177,0.100354,0.096874,-1536.533531,-1536.530051,           C1,,,
o  3c-pipr3-04-ts-c1-c2,-1536.936077,-1536.178575,0.471688,-1536.424469,0.100827,0.096503,-1536.525295,-1536.520972,-162.37,           C1,,
o  3c-pipr3-05-c2,-1536.991808,-1536.230638,0.474261,-1536.477655,0.103742,0.096177,-1536.581397,-1536.573831,           C1,,,
o  3c-pipr3-06-c2-h2o,-1613.382144,-1612.537987,0.498857,-1612.840143,0.109815,0.102459,-1612.949958,-1612.942602,           C1,,,
o  3c-pipr3-07-ts-c2-c3,-1613.374262,-1612.531779,0.498806,-1612.833443,0.106175,0.100143,-1612.939618,-1612.933586,-67.86,           C1,,
o  3c-pipr3-08-c3-boh3,-1613.38079,-1612.540854,0.498984,-1612.839252,0.108173,0.101197,-1612.947424,-1612.940448,           C1,,,
o  3c-pipr3-09-c3,-1361.055967,-1360.475515,0.4478,-1360.571934,0.094702,0.089409,-1360.666636,-1360.661343,           C1,,,
o  3c-pipr3-10-ts-c3-c4,-1361.008223,-1360.43162,0.443689,-1360.528501,0.093598,0.088974,-1360.622099,-1360.617475,-899.27,           C1,,
o  3c-pipr3-11-c4,-1361.036525,-1360.455331,0.449658,-1360.551115,0.091215,0.08846,-1360.64233,-1360.639575,           C1,,,
o  3c-pipr3-12-ts-rxt-t1,-1536.937412,-1536.176009,0.472864,-1536.425297,0.099698,0.094832,-1536.524995,-1536.520129,-68.73,           C1,,
o  3c-pipr3-13-t1,-1536.947949,-1536.188916,0.472396,-1536.434896,0.104266,0.097601,-1536.539162,-1536.532496,           C1,,,
o  3c-pipr3-14-ts-t1-t2,-1536.928483,-1536.172003,0.471546,-1536.416929,0.102612,0.096597,-1536.51954,-1536.513526,-137.79,           C1,,
o  3c-pipr3-15-t2,-1536.948717,-1536.194727,0.473161,-1536.434922,0.106279,0.098098,-1536.5412,-1536.53302,           C1,,,
o  3c-pipr3-16-t2-h2o,-1613.336287,-1612.506363,0.497807,-1612.794981,0.111934,0.103865,-1612.906915,-1612.898847,           C1,,,
o  3c-pipr3-17-ts-t2-t3,-1613.315608,-1612.483176,0.495895,-1612.775792,0.112131,0.104834,-1612.887923,-1612.880626,-116.66,           C1,,
o  3c-pipr3-18-t3-boh3,-1613.336918,-1612.508596,0.497504,-1612.795702,0.113875,0.104235,-1612.909577,-1612.899937,           C1,,,
o  3c-pipr3-19-t3,-1361.02825,-1360.445797,0.44817,-1360.54315,0.096641,0.09084,-1360.639791,-1360.63399,           C1,,,
o  3c-pipr3-20-ts-t3-t4,-1360.999637,-1360.425783,0.443157,-1360.520068,0.096569,0.08987,-1360.616638,-1360.609938,-1079.77,           C1,,
o  3c-pipr3-21-t4,-1361.043984,-1360.458707,0.448406,-1360.558881,0.096403,0.090039,-1360.655285,-1360.648921,           C1,,,
o  3c-pipr3-22-c5,-1613.370332,-1612.529287,0.498527,-1612.828039,0.110997,0.103919,-1612.939036,-1612.931958,           C1,,,
o  3c-pipr3-23-ts-c5-c6,-1613.317078,-1612.487722,0.493529,-1612.781672,0.105319,0.099826,-1612.886991,-1612.881499,-979.4,           C1,,
o  3c-pipr3-24-t5,-1613.318753,-1612.486677,0.496944,-1612.778347,0.111201,0.103145,-1612.889548,-1612.881492,           C1,,,
o  3c-pipr3-25-ts-t5-t6,-1613.309443,-1612.482412,0.492882,-1612.773878,0.109279,0.101732,-1612.883157,-1612.87561,-654.97,           C1,,
o  3c-pipr3-39-t2-lig,-2233.247836,-2232.192904,0.749141,-2232.438394,0.139967,0.129043,-2232.578361,-2232.567437,           C1,,,
o  3c-pipr3-40-ts-t2-p1,-2233.228421,-2232.168915,0.750322,-2232.418671,0.135994,0.127301,-2232.554665,-2232.545972,-103.52,           C1,,
o  3c-pipr3-41-p1-boh3,-2233.292496,-2232.228835,0.752966,-2232.480114,0.136208,0.126759,-2232.616322,-2232.606873,           C1,,,
o  3c-pipr3-42-p1,-1980.977493,-1980.163995,0.702365,-1980.221953,0.122011,0.114645,-1980.343963,-1980.336597,           C1,,,
o  3c-pipr3-43-t3-lig,-2057.323803,-2056.438911,0.725188,-2056.542206,0.131637,0.121103,-2056.673843,-2056.663309,           C1,,,
o  3c-pipr3-44-ts-t3-p1,-2057.303903,-2056.421016,0.724325,-2056.523168,0.129736,0.121225,-2056.652904,-2056.644392,-140.68,           C1,,
o  3c-pipr3-45-p1-h2o,-2057.364991,-2056.468992,0.726579,-2056.581905,0.129348,0.121578,-2056.711253,-2056.703483,           C1,,,
o  3c-pipr3-99-lig,-696.268988,-695.95203,0.275134,-695.974763,0.054998,0.054286,-696.029761,-696.029048,           C1,,,
o  3d-pcpt3-00-lpdoh2,-2415.261934,-2414.299832,0.826857,-2414.377247,0.150967,0.137645,-2414.528214,-2414.514892,           C2,,,
o  3d-pcpt3-01-rxt,-1768.92231,-1768.00605,0.582215,-1768.297008,0.118418,0.109441,-1768.415427,-1768.406449,           C1,,,
o  3d-pcpt3-02-ts-rxt-c1,-1768.898006,-1767.982275,0.580837,-1768.274418,0.116659,0.108972,-1768.391077,-1768.38339,-124.77,           C1,,
o  3d-pcpt3-03-c1,-1768.913813,-1767.996001,0.581345,-1768.288977,0.117124,0.11071,-1768.406101,-1768.399687,           C1,,,
o  3d-pcpt3-04-ts-c1-c2,-1768.906442,-1767.990856,0.580236,-1768.283028,0.116244,0.110489,-1768.399272,-1768.393517,-65.9,           C1,,
o  3d-pcpt3-05-c2,-1768.966859,-1768.044245,0.582585,-1768.341129,0.119592,0.109818,-1768.460721,-1768.450946,           C1,,,
o  3d-pcpt3-06-c2-h2o,-1845.353669,-1844.350508,0.607239,-1844.700162,0.12538,0.115819,-1844.825542,-1844.815981,           C1,,,
o  3d-pcpt3-07-ts-c2-c3,-1845.346411,-1844.345721,0.607392,-1844.693971,0.121241,0.113291,-1844.815212,-1844.807263,-61.93,           C1,,
o  3d-pcpt3-08-c3-boh3,-1845.351316,-1844.355439,0.607512,-1844.698184,0.123125,0.114593,-1844.821308,-1844.812776,           C1,,,
o  3d-pcpt3-09-c3,-1593.028513,-1592.287773,0.556006,-1592.433066,0.110881,0.102929,-1592.543947,-1592.535996,           C1,,,
o  3d-pcpt3-10-ts-c3-c4,-1592.977146,-1592.245,0.55229,-1592.385752,0.109116,0.102407,-1592.494868,-1592.488159,-813.46,           C1,,
o  3d-pcpt3-11-c4,-1593.00538,-1592.266742,0.557614,-1592.408692,0.107567,0.102389,-1592.516258,-1592.511081,           C1,,,
o  3d-pcpt3-12-ts-rxt-t1,-1768.907363,-1767.988152,0.581212,-1768.28373,0.115509,0.107984,-1768.399239,-1768.391714,-61.35,           C1,,
o  3d-pcpt3-13-t1,-1768.919626,-1768.001385,0.581035,-1768.294901,0.119829,0.110732,-1768.41473,-1768.405632,           C1,,,
o  3d-pcpt3-14-ts-t1-t2,-1768.894205,-1767.98002,0.57929,-1768.271216,0.120486,0.111338,-1768.391702,-1768.382554,-228.05,           C1,,
o  3d-pcpt3-15-t2,-1768.921971,-1768.008231,0.581172,-1768.296693,0.124183,0.11187,-1768.420877,-1768.408564,           C1,,,
o  3d-pcpt3-16-t2-h2o,-1845.306559,-1844.319652,0.606008,-1844.653815,0.127459,0.117415,-1844.781274,-1844.771231,           C1,,,
o  3d-pcpt3-17-ts-t2-t3,-1845.286458,-1844.296501,0.604345,-1844.635034,0.127506,0.118434,-1844.76254,-1844.753469,-121.79,           C1,,
o  3d-pcpt3-18-t3-boh3,-1845.30875,-1844.322769,0.60597,-1844.655924,0.129028,0.11764,-1844.784951,-1844.773564,           C1,,,
o  3d-pcpt3-19-t3,-1592.99743,-1592.255589,0.556309,-1592.400781,0.11454,0.104628,-1592.515321,-1592.505409,           C1,,,
o  3d-pcpt3-20-ts-t3-t4,-1592.968659,-1592.23658,0.551636,-1592.377458,0.113073,0.103186,-1592.49053,-1592.480643,-1076.62,           C1,,
o  3d-pcpt3-21-t4,-1593.015106,-1592.270807,0.556624,-1592.418613,0.112506,0.103708,-1592.531119,-1592.522321,           C1,,,
o  3d-pcpt3-22-c5,-1845.34194,-1844.34119,0.606507,-1844.688002,0.12961,0.118744,-1844.817612,-1844.806746,           C1,,,
o  3d-pcpt3-23-ts-c5-c6,-1845.284542,-1844.300919,0.60174,-1844.637433,0.122458,0.114048,-1844.759891,-1844.751481,-1041.93,           C1,,
o  3d-pcpt3-24-t5,-1845.288816,-1844.299304,0.604876,-1844.636852,0.129526,0.11718,-1844.766378,-1844.754033,           C1,,,
o  3d-pcpt3-25-ts-t5-t6,-1845.279078,-1844.294665,0.601099,-1844.631891,0.126341,0.11573,-1844.758232,-1844.747621,-497.99,           C1,,
o  3d-pcpt3-39-t2-lig,-2697.186369,-2695.815805,0.965894,-2696.153463,0.174902,0.155823,-2696.328365,-2696.309286,           C1,,,
o  3d-pcpt3-40-ts-t2-p1,-2697.167898,-2695.79282,0.966391,-2696.13504,0.168868,0.155258,-2696.303908,-2696.290298,-103.64,           C1,,
o  3d-pcpt3-41-p1-boh3,-2697.236662,-2695.85591,0.969274,-2696.201212,0.168426,0.15465,-2696.369638,-2696.355862,           C1,,,
o  3d-pcpt3-42-p1,-2444.9186,-2443.786859,0.919132,-2443.9396,0.155298,0.142286,-2444.094898,-2444.081885,           C1,,,
o  3d-pcpt3-43-t3-lig,-2521.263957,-2520.062147,0.941744,-2520.259112,0.165934,0.147859,-2520.425046,-2520.406971,           C1,,,
o  3d-pcpt3-44-ts-t3-p1,-2521.243013,-2520.043477,0.940802,-2520.239173,0.162585,0.148278,-2520.401758,-2520.387451,-146.2,           C1,,
o  3d-pcpt3-45-p1-h2o,-2521.303094,-2520.094275,0.943784,-2520.296398,0.160144,0.148325,-2520.456542,-2520.444723,           C1,,,
o  3d-pcpt3-99-lig,-928.235388,-927.758712,0.383357,-927.829465,0.073826,0.069521,-927.90329,-927.898985,           C1,,,
o  3e-pcy3-00-lpdoh2,-2650.86964,-2649.744858,0.996834,-2649.806967,0.167328,0.151777,-2649.974295,-2649.958744,           C1,,,
o  3e-pcy3-01-rxt,-1886.724295,-1885.728602,0.66719,-1886.010057,0.12638,0.1161,-1886.136436,-1886.126157,           C1,,,
o  3e-pcy3-02-ts-rxt-c1,-1886.701386,-1885.704413,0.666308,-1885.988604,0.122767,0.115155,-1886.111371,-1886.103759,-116.73,           C1,,
o  3e-pcy3-03-c1,-1886.717381,-1885.719289,0.666583,-1886.003529,0.124452,0.116802,-1886.127981,-1886.120331,           C1,,,
o  3e-pcy3-04-ts-c1-c2,-1886.709351,-1885.713715,0.665668,-1885.996909,0.122971,0.116004,-1886.11988,-1886.112913,-131.65,           C1,,
